id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
97945,Deluxw-Apartm. with roof terrace,517685,Angelika,,Hadern,48.11492,11.48954,Entire home/apt,95,2,126,2019-10-03,0.78,2,116,0,
114695,Apartment Munich/East with sundeck,581737,Stephan,,Berg am Laim,48.12071,11.63758,Entire home/apt,105,2,78,2024-10-09,0.48,3,167,12,
127383,City apartment next to Pinakothek,630556,Sonja,,Maxvorstadt,48.15199,11.56482,Entire home/apt,140,4,115,2024-08-18,0.70,1,19,4,
159634,"Fancy, bright central roof top flat and homeoffice",765694,Susana,,Pasing-Obermenzing,48.13855,11.46586,Entire home/apt,,4,44,2024-12-21,0.27,1,3,7,
170154,"Own floor & bath, parking & breakfast",108297,Alex,,Sendling-Westpark,48.10814,11.52733,Private room,70,3,573,2024-12-11,3.55,1,156,27,
172672,Cozy guest room in high-end flat.,823913,Karin,,Schwabing-West,48.16341,11.56366,Private room,,1,235,2024-12-13,1.81,1,0,12,
187359,Charming apartment near City Center,901209,Christian,,Neuhausen-Nymphenburg,48.15638,11.53935,Private room,75,2,51,2024-10-03,0.32,1,89,5,
189551,Loft with roof terrace in city center,914449,Peter,,Schwanthalerhöhe,48.135918738468185,11.544270547589536,Entire home/apt,383,3,453,2024-12-16,2.86,2,1,48,
189582,CLASSY APARTMENT in Munich,914564,Christiane,,Bogenhausen,48.15556,11.64903,Private room,,30,14,2022-07-31,0.09,1,0,0,
189606,"Nice apartment near river ""Isar""",914691,Klaus,,Au-Haidhausen,48.126277923583984,11.579534530639648,Entire home/apt,65,2,260,2024-11-28,1.61,2,302,23,
190383,TOP! direkte Anbindung zur Messe,919644,Christine,,Berg am Laim,48.12424,11.63186,Private room,35,2,255,2024-12-15,1.64,1,137,48,
190653,Pretty and renovated apartment,919917,Werner,,Ludwigsvorstadt-Isarvorstadt,48.12951,11.56103,Entire home/apt,96,2,236,2024-10-09,1.53,1,284,17,
191405,Single Apartment in Central Munich,925836,Esther,,Au-Haidhausen,48.12204,11.58064,Entire home/apt,85,2,20,2018-04-23,0.12,1,0,0,
191535,City apartment in running distance to Oktoberfest,926189,Marco,,Sendling,48.11647,11.54049,Private room,,3,8,2022-10-02,0.10,1,0,0,
191602,Apartment in the center - Glockenbachviertel,926985,Dunni,,Ludwigsvorstadt-Isarvorstadt,48.1267,11.57033,Entire home/apt,82,3,54,2023-06-11,0.34,1,24,0,
192933,Artist's Studio Glockenbach area,934964,Andreas,,Ludwigsvorstadt-Isarvorstadt,48.1295,11.56788,Entire home/apt,120,3,103,2024-12-13,0.64,1,267,12,
193463,Munich-Schwabing-  super-central & quiet-room,938552,Gabriele,,Maxvorstadt,48.155906677246094,11.572439193725586,Private room,67,3,243,2024-12-07,1.58,2,165,27,
193477,"* Munich- Schwabing,  very pretty mini room *",938552,Gabriele,,Maxvorstadt,48.155174255371094,11.56930160522461,Private room,,3,104,2024-10-06,0.98,2,5,5,
195293,Stylish Apartment No.24,949632,Sabine,,Schwabing-West,48.16438,11.56853,Private room,45,30,75,2024-12-21,0.50,2,61,4,
195388,schöne 2-Zi-Wohnung für 4 Personen,949998,Ingrid,,Ramersdorf-Perlach,48.10026,11.6068,Entire home/apt,106,2,299,2024-12-03,1.85,1,132,32,
195444,Modern room in ancient building,950268,Eileen,,Ludwigsvorstadt-Isarvorstadt,48.12279,11.56028,Private room,79,4,290,2024-12-17,1.80,1,238,33,
