id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365,number_of_reviews,last_review
97945,Deluxw-Apartm. with roof terrace,Hadern,48.11492,11.48954,Entire home/apt,95.0,2,116,126,2019-10-03
114695,Apartment Munich/East with sundeck,Berg am Laim,48.12071,11.63758,Entire home/apt,105.0,2,167,78,2024-10-09
127383,City apartment next to Pinakothek,Maxvorstadt,48.15199,11.56482,Entire home/apt,140.0,4,19,115,2024-08-18
170154,"Own floor & bath, parking & breakfast",Sendling-Westpark,48.10814,11.52733,Private room,70.0,3,156,573,2024-12-11
187359,Charming apartment near City Center,Neuhausen-Nymphenburg,48.15638,11.53935,Private room,75.0,2,89,51,2024-10-03
189551,Loft with roof terrace in city center,Schwanthalerhöhe,48.135918738468185,11.544270547589536,Entire home/apt,383.0,3,1,453,2024-12-16
189606,"Nice apartment near river ""Isar""",Au-Haidhausen,48.126277923583984,11.579534530639648,Entire home/apt,65.0,2,302,260,2024-11-28
190383,TOP! direkte Anbindung zur Messe,Berg am Laim,48.12424,11.63186,Private room,35.0,2,137,255,2024-12-15
190653,Pretty and renovated apartment,Ludwigsvorstadt-Isarvorstadt,48.12951,11.56103,Entire home/apt,96.0,2,284,236,2024-10-09
191405,Single Apartment in Central Munich,Au-Haidhausen,48.12204,11.58064,Entire home/apt,85.0,2,0,20,2018-04-23
191602,Apartment in the center - Glockenbachviertel,Ludwigsvorstadt-Isarvorstadt,48.1267,11.57033,Entire home/apt,82.0,3,24,54,2023-06-11
192933,Artist's Studio Glockenbach area,Ludwigsvorstadt-Isarvorstadt,48.1295,11.56788,Entire home/apt,120.0,3,267,103,2024-12-13
193463,Munich-Schwabing-  super-central & quiet-room,Maxvorstadt,48.155906677246094,11.572439193725586,Private room,67.0,3,165,243,2024-12-07
195293,Stylish Apartment No.24,Schwabing-West,48.16438,11.56853,Private room,45.0,30,61,75,2024-12-21
195388,schöne 2-Zi-Wohnung für 4 Personen,Ramersdorf-Perlach,48.10026,11.6068,Entire home/apt,106.0,2,132,299,2024-12-03
195444,Modern room in ancient building,Ludwigsvorstadt-Isarvorstadt,48.12279,11.56028,Private room,79.0,4,238,290,2024-12-17
